timestamp,rack_id,status,power_usage_kw,pue_ratio,incident_type,resolution_time_min
2025-04-02 03:09:16,RACK-A18,Online,4.61,1.234,,0
2025-04-02 06:34:49,RACK-C17,Online,6.46,1.428,Cooling Leak,85
2025-04-02 08:19:09,RACK-E04,Online,7.45,1.398,,0
2025-04-02 20:58:39,RACK-E17,Online,4.21,1.594,,0
2025-04-03 00:06:42,RACK-B16,Maintenance,7.08,1.289,,0
2025-04-03 11:22:10,RACK-C14,Online,4.84,1.197,None,0
2025-04-03 18:09:47,RACK-C05,Online,6.94,1.551,,0
2025-04-03 20:59:37,RACK-B20,Online,3.82,1.462,,0
2025-04-03 22:11:46,RACK-B03,Warning,6.13,1.17,None,0
2025-04-04 03:20:01,RACK-C20,Online,7.84,1.623,,0
2025-04-04 14:11:23,RACK-C14,Online,6.54,1.59,Latency Spike,77
2025-04-04 14:45:05,RACK-A10,Online,7.07,1.284,UPS Failure,53
2025-04-04 16:10:14,RACK-C12,Warning,3.41,1.151,,0
2025-04-04 17:57:08,RACK-B11,Online,6.05,1.42,Cooling Leak,26
2025-04-04 18:38:45,RACK-C20,Online,3.64,1.381,Latency Spike,89
2025-04-05 00:08:09,RACK-C03,Online,4.73,1.645,Unauthorized Access Attempt,96
2025-04-05 05:04:27,RACK-B13,Online,7.04,1.219,Latency Spike,75
2025-04-05 12:15:54,RACK-C03,Online,5.0,1.319,,0
2025-04-05 12:52:39,RACK-D01,Online,6.63,1.612,,0
2025-04-05 22:07:58,RACK-A17,Maintenance,6.45,1.578,None,0
2025-04-06 01:08:39,RACK-B08,Online,4.35,1.597,None,0
2025-04-06 03:29:32,RACK-B07,Warning,4.26,1.425,None,0
2025-04-06 06:10:56,RACK-C07,Online,2.9,1.308,None,0
2025-04-06 12:32:13,RACK-B04,Critical,3.89,1.624,,0
2025-04-06 22:35:21,RACK-A16,Online,3.29,1.246,None,0
2025-04-07 02:19:20,RACK-E15,Online,2.97,1.433,,0
2025-04-07 06:00:46,RACK-E18,Online,4.06,1.205,,0
2025-04-07 07:24:57,RACK-C05,Warning,7.34,1.353,,0
2025-04-07 18:29:58,RACK-B10,Online,6.1,1.509,None,0
2025-04-07 19:31:42,RACK-D09,Online,7.34,1.658,UPS Failure,66
2025-04-08 07:06:46,RACK-E17,Critical,7.35,1.382,Latency Spike,23
2025-04-08 09:41:56,RACK-E08,Maintenance,6.58,1.519,,0
2025-04-08 10:20:31,RACK-B18,Online,6.12,1.486,None,0
2025-04-08 12:04:32,RACK-E08,Warning,6.84,1.443,Latency Spike,47
2025-04-08 20:58:53,RACK-E13,Online,6.7,1.541,UPS Failure,64
2025-04-09 05:32:58,RACK-C05,Online,2.52,1.426,None,0
2025-04-09 08:05:03,RACK-B06,Online,6.17,1.532,Unauthorized Access Attempt,39
2025-04-09 09:46:31,RACK-A11,Online,5.71,1.438,Latency Spike,41
2025-04-09 16:16:40,RACK-D18,Warning,5.9,1.543,None,0
2025-04-09 21:23:30,RACK-E06,Online,6.02,1.511,UPS Failure,105
2025-04-10 06:20:01,RACK-E15,Online,5.58,1.494,Cooling Leak,112
2025-04-10 09:37:47,RACK-A05,Online,4.89,1.551,,0
2025-04-10 12:31:49,RACK-E07,Critical,7.95,1.431,Cooling Leak,41
2025-04-10 14:32:33,RACK-B17,Online,2.61,1.208,None,0
2025-04-10 16:44:40,RACK-C10,Warning,3.55,1.174,,0
2025-04-11 04:59:15,RACK-B16,Online,3.27,1.206,UPS Failure,84
2025-04-11 09:31:39,RACK-E20,Online,4.9,1.552,,0
2025-04-11 10:02:11,RACK-C20,Online,3.93,1.33,,0
2025-04-11 15:27:32,RACK-D09,Online,2.65,1.632,,0
2025-04-11 21:57:01,RACK-E03,Online,7.17,1.602,,0
2025-04-12 04:08:02,RACK-C19,Online,7.33,1.646,Latency Spike,103
2025-04-12 09:10:09,RACK-D04,Warning,3.5,1.267,Cooling Leak,58
2025-04-12 09:44:35,RACK-B14,Online,6.19,1.315,,0
2025-04-12 13:47:52,RACK-B05,Maintenance,7.96,1.586,None,0
2025-04-12 13:55:56,RACK-A08,Online,4.53,1.456,Latency Spike,90
2025-04-13 05:20:10,RACK-D19,Online,4.73,1.609,,0
2025-04-13 11:06:57,RACK-E10,Online,7.05,1.665,None,0
2025-04-13 16:50:39,RACK-C14,Online,6.43,1.348,None,0
2025-04-13 16:58:08,RACK-B18,Online,2.82,1.555,,0
2025-04-13 22:53:52,RACK-E16,Online,6.69,1.252,,0
2025-04-14 04:21:57,RACK-C14,Online,5.74,1.595,,0
2025-04-14 07:16:50,RACK-D09,Maintenance,6.73,1.337,,0
2025-04-14 15:05:00,RACK-C19,Online,5.6,1.205,,0
2025-04-14 18:33:28,RACK-E18,Online,3.19,1.513,Latency Spike,36
2025-04-14 21:25:49,RACK-D01,Online,7.89,1.442,Unauthorized Access Attempt,81
2025-04-15 00:22:11,RACK-C03,Maintenance,2.9,1.51,None,0
2025-04-15 11:56:25,RACK-B20,Online,2.64,1.322,UPS Failure,63
2025-04-15 15:37:42,RACK-C17,Online,5.74,1.386,,0
2025-04-15 16:20:06,RACK-B16,Online,5.71,1.378,None,0
2025-04-15 19:33:22,RACK-B11,Online,2.93,1.307,,0
2025-04-16 06:54:10,RACK-C13,Critical,6.62,1.659,,0
2025-04-16 07:00:42,RACK-C17,Online,6.76,1.276,None,0
2025-04-16 11:37:54,RACK-B15,Online,4.51,1.458,None,0
2025-04-16 14:06:55,RACK-A07,Online,2.76,1.431,None,0
2025-04-16 20:56:42,RACK-C04,Online,3.68,1.57,,0
2025-04-17 11:01:08,RACK-C12,Online,3.66,1.669,Latency Spike,55
2025-04-17 13:24:57,RACK-E10,Online,7.78,1.444,UPS Failure,29
2025-04-17 14:36:40,RACK-A09,Online,3.79,1.216,Latency Spike,46
2025-04-17 17:10:52,RACK-D19,Critical,6.94,1.441,UPS Failure,85
2025-04-17 17:23:38,RACK-A18,Online,2.98,1.568,None,0
2025-04-18 02:37:15,RACK-A16,Maintenance,5.61,1.173,,0
2025-04-18 03:59:51,RACK-E12,Online,5.85,1.683,None,0
2025-04-18 09:10:15,RACK-A12,Online,4.98,1.563,,0
2025-04-18 11:55:02,RACK-D07,Maintenance,2.57,1.357,UPS Failure,27
2025-04-18 18:33:22,RACK-C04,Warning,4.9,1.319,UPS Failure,33
2025-04-19 00:33:58,RACK-B09,Online,7.55,1.342,Cooling Leak,44
2025-04-19 03:52:27,RACK-B02,Maintenance,4.55,1.322,None,0
2025-04-19 08:13:01,RACK-B09,Online,7.77,1.435,,0
2025-04-19 09:30:59,RACK-B19,Warning,3.23,1.156,None,0
2025-04-19 18:47:10,RACK-B11,Online,6.53,1.481,Latency Spike,119
2025-04-20 00:08:55,RACK-A12,Online,7.06,1.174,,0
2025-04-20 05:59:04,RACK-B19,Warning,5.29,1.259,,0
2025-04-20 09:38:00,RACK-E18,Online,5.12,1.669,,0
2025-04-20 13:36:26,RACK-D09,Online,4.67,1.46,,0
2025-04-20 13:56:10,RACK-B17,Online,7.77,1.697,,0
2025-04-20 17:26:27,RACK-E15,Warning,3.97,1.583,,0
2025-04-20 17:56:38,RACK-D18,Online,5.44,1.285,,0
2025-04-20 21:32:45,RACK-B13,Maintenance,3.42,1.484,UPS Failure,29
2025-04-21 11:01:15,RACK-C19,Maintenance,4.9,1.554,Unauthorized Access Attempt,49
2025-04-21 13:20:38,RACK-B18,Online,4.85,1.19,None,0
2025-04-21 13:43:41,RACK-D11,Online,5.96,1.637,,0
2025-04-21 14:33:19,RACK-C01,Warning,6.15,1.593,Unauthorized Access Attempt,63
2025-04-21 19:32:00,RACK-D19,Online,3.33,1.521,Cooling Leak,51
