name,operator,city,state,country,latitude,longitude,type,deployment_model,model_share_pct,estimated_mw,investment_est_usd_m,hub,dominant_tech,maturity_level,tech_category,status_proyecto
HostDime GDL1,HostDime Global Corp,San Agustín,Jalisco,Mexico,20.582,-103.442,colocation,Colocation,84.0,10,70.0,guadalajara,Hybrid Cooling,Trial,Sustainability,Operativo
HostDime GDL2,HostDime Global Corp,Guadalajara,Jalisco,Mexico,20.627,-103.423,colocation,Colocation,84.0,4,28.0,guadalajara,Hybrid Cooling,Trial,Sustainability,Operativo
MetroCarrier Guadalajara,MetroCarrier,San Pedro Tlaquepaque,Jalisco,Mexico,20.621,-103.331,colocation,Colocation,84.0,9,63.0,guadalajara,Hybrid Cooling,Trial,Sustainability,Operativo
Assetel CloudSIDE,Assetel,Zapopan,Jalisco,Mexico,20.721,-103.413,colocation,Colocation,84.0,2,14.0,guadalajara,Hybrid Cooling,Trial,Sustainability,Operativo
IPXON Guadalajara,IPXON Networks,Zapopan,Jalisco,Mexico,20.698,-103.438,colocation,Colocation,84.0,2,14.0,guadalajara,Hybrid Cooling,Trial,Sustainability,Operativo
Marcatel Guadalajara,Marcatel,Guadalajara,Jalisco,Mexico,20.664,-103.352,colocation,Colocation,84.0,3,21.0,guadalajara,Hybrid Cooling,Trial,Sustainability,Operativo
TELMEX Triara Guadalajara,TELMEX,Guadalajara,Jalisco,Mexico,20.673,-103.349,colocation,Colocation,84.0,5,35.0,guadalajara,Hybrid Cooling,Trial,Sustainability,Operativo
Nabiax León 1,Nabiax,León,Guanajuato,Mexico,21.1221,-101.6824,colocation,Colocation,84.0,6,42.0,otro,Traditional Air Cooling,Hold,Hardware,Operativo
Nabiax León 2,Nabiax,León,Guanajuato,Mexico,21.125,-101.679,colocation,Colocation,84.0,6,42.0,otro,Traditional Air Cooling,Hold,Hardware,Operativo
TELMEX Triara León,TELMEX,León,Guanajuato,Mexico,21.128,-101.676,colocation,Colocation,84.0,4,28.0,otro,Traditional Air Cooling,Hold,Hardware,Operativo
Nabiax Toluca 1,Nabiax,Toluca,Estado de México,Mexico,19.2826,-99.6557,colocation,Colocation,84.0,5,40.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
Nabiax Toluca 2,Nabiax,Toluca,Estado de México,Mexico,19.286,-99.652,colocation,Colocation,84.0,5,40.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
TELMEX Triara Mérida,TELMEX,Mérida,Yucatán,Mexico,20.9674,-89.6235,colocation,Colocation,84.0,3,21.0,otro,Traditional Air Cooling,Hold,Hardware,Operativo
ECSystems Mérida,ECSystems,Mérida,Yucatán,Mexico,20.967,-89.623,colocation,Colocation,84.0,1,7.0,otro,Traditional Air Cooling,Hold,Hardware,Planeado
TELMEX Triara Cancún,TELMEX,Cancún,Quintana Roo,Mexico,21.1619,-86.8515,edge,Edge,4.0,2,14.0,otro,Edge Computing,Trial,Hardware,Operativo
TELMEX Triara Veracruz 1,TELMEX,Veracruz,Veracruz,Mexico,19.1738,-96.1342,edge,Edge,4.0,2,14.0,otro,Edge Computing,Trial,Hardware,Operativo
TELMEX Triara San Luis Potosí 1,TELMEX,San Luis Potosí,San Luis Potosí,Mexico,22.1565,-100.9855,edge,Edge,4.0,2,14.0,otro,Edge Computing,Trial,Hardware,Operativo
TELMEX Triara Aguascalientes 1,TELMEX,Aguascalientes,Aguascalientes,Mexico,21.8818,-102.2916,edge,Edge,4.0,2,14.0,otro,Edge Computing,Trial,Hardware,Operativo
TELMEX Triara Aguascalientes 2,TELMEX,Aguascalientes,Aguascalientes,Mexico,21.8845,-102.288,edge,Edge,4.0,1,7.0,otro,Edge Computing,Trial,Hardware,Operativo
TELMEX Triara Hermosillo,TELMEX,Hermosillo,Sonora,Mexico,29.0729,-110.9559,edge,Edge,4.0,2,14.0,otro,Edge Computing,Trial,Hardware,Operativo
TELMEX Triara Tijuana,TELMEX,Tijuana,Baja California,Mexico,32.5149,-117.0382,edge,Edge,4.0,2,14.0,otro,Edge Computing,Trial,Hardware,Operativo
TELMEX Triara Nogales,TELMEX,Nogales,Sonora,Mexico,31.32,-110.94,edge,Edge,4.0,1,7.0,otro,Edge Computing,Trial,Hardware,Operativo
Cuernavaca DC,TELMEX,Cuernavaca,Morelos,Mexico,18.9261,-99.2308,edge,Edge,4.0,1,8.0,mexico_city,Edge Computing,Trial,Hardware,Operativo
TELMEX Triara Villahermosa,TELMEX,Villahermosa,Tabasco,Mexico,17.989,-92.9475,edge,Edge,4.0,1,7.0,otro,Edge Computing,Trial,Hardware,Operativo
TELMEX Triara Tuxtla Gutiérrez,TELMEX,Tuxtla Gutiérrez,Chiapas,Mexico,16.7521,-93.1145,edge,Edge,4.0,1,7.0,otro,Edge Computing,Trial,Hardware,Operativo
TELMEX Triara Xalapa,TELMEX,Xalapa,Veracruz,Mexico,19.5438,-96.9102,edge,Edge,4.0,1,7.0,otro,Edge Computing,Trial,Hardware,Operativo
Puebla DC,TELMEX,Puebla,Puebla,Mexico,19.0414,-98.2063,colocation,Colocation,84.0,3,24.0,mexico_city,Traditional Air Cooling,Hold,Hardware,Operativo
